theta2 RA DEC
0.311 355.51 58.2935
0.183 355.622 58.0109
0.242 354.758 57.8019
0.185 354.826 57.8704
0.105 355.48 57.5719
0.101 355.568 57.8055
0.382 354.763 57.4195
0.119 355.239 58.1448
0.165 354.871 57.9463
0.348 355.839 57.8261
0.008 355.202 57.8756
0.307 354.717 57.9499
0.106 355.567 57.8755
0.055 355.244 58.0344
0.21 355.251 57.3417
0.186 355.681 57.8071
0.349 354.954 57.2889
0.219 355.587 57.4757
0.264 355.664 57.4955
0.213 355.4 57.3634
0.331 355.143 57.2347
0.004 355.215 57.8529
0.025 355.244 57.642
0.356 355.079 57.2283
0.246 355.698 57.5862
0.201 355.496 58.1748
0.283 355.683 58.1091
0.26 355.146 58.2993
0.255 355.745 57.7003
0.241 355.591 57.4473
0.009 355.212 57.887
0.046 355.089 57.6578
0.21 355.673 57.6228
0.343 355.798 58.0078
0.119 355.443 57.5139
0.051 355.468 57.7403
0.352 354.697 57.5845
0.106 355.506 58.0008
0.198 354.873 58.037
0.396 354.689 57.515
0.127 355.472 58.079
0.146 355.542 58.047
0.346 355.783 57.5507
0.087 354.97 57.7068
0.284 355.4 57.2886
0.019 355.342 57.9025
0.024 355.213 57.9504
0.296 355.474 57.3043
0.297 355.157 58.337
0.035 355.327 57.6294
0.283 354.778 57.5553
0.058 355.237 57.5595
0.085 355.54 57.8322
0.03 355.25 57.9732
0.329 355.483 58.3242
0.361 355.686 58.2133
0.159 355.649 57.8054
0.084 355.287 57.5126
0.032 355.349 57.6508
0.104 354.957 57.6646
0.26 354.945 58.2083
0.326 355.716 58.13
0.042 355.306 57.6029
0.101 355.208 58.1151
0.248 355.322 57.3073
0.003 355.195 57.7973
0.146 355.591 57.9716
0.093 355.249 57.495
0.355 355.815 57.9899
0.244 355.265 58.2937
0.08 354.989 57.6902
0.14 355.256 58.1741
0.236 355.662 57.5431
0.156 354.858 57.7482
0.305 355.008 57.3035
0.097 355.377 57.5156
0.38 355.269 58.4162
0.178 355.411 57.41
0.177 355.671 57.8017
0.312 354.696 57.7309
0.377 354.663 57.6208
0.23 355.093 58.2532
0.205 355.678 57.6509
0.016 355.132 57.8466
0.163 355.654 57.7986
0.009 355.157 57.7809
0.166 354.955 57.5186
0.375 355.735 58.1743
0.089 354.959 57.7338
0.219 355.214 58.2666
0.007 355.33 57.8237
0.177 355.161 57.3888
0.344 355.578 57.3137
0.028 355.412 57.7583
0.033 355.132 57.662
0.215 355.679 57.9757
0.24 354.76 57.781
0.25 355.729 57.6575
0.097 354.964 57.9233
0.382 355.14 58.4083
0.196 355.452 58.1941
0.311 354.862 58.2008
0.338 355.164 58.375
0.287 354.805 58.0978
0.094 355.012 57.9929
0.385 355.414 57.2017
0.277 355.022 57.3258
0.233 355.653 57.535
0.263 354.884 58.1591
0.158 355.142 57.4174
0.075 355.205 57.5298
0.277 355.155 57.2823
0.128 355.584 57.9269
0.2 355.052 58.2012
0.278 355.776 57.8409
0.316 355.068 58.332
0.253 355.747 57.8752
0.3 354.769 58.0615
0.377 355.862 57.848
0.284 354.966 57.349
0.242 355.74 57.8412
0.082 355.507 57.9256
0.208 355.347 57.3543
0.054 355.38 57.6075
0.193 355.106 57.385
0.024 355.131 57.7014
0.13 355.303 57.4434
0.299 354.739 57.606
0.197 354.903 57.5232
0.141 355.418 58.1357
0.325 355.376 58.356
0.18 355.403 58.1956
0.06 355.283 57.5573
0.066 355.064 57.9775
0.152 355.566 57.5715
0.035 355.09 57.8971
0.213 355.711 57.787
0.311 355.631 57.393
0.374 355.197 58.4093
0.377 355.377 57.1994
0.115 355.511 58.0163
0.349 355.821 57.6489
0.017 355.374 57.8405
0.268 355.74 57.6331
0.017 355.12 57.8079
0.114 354.994 57.5804
0.023 355.238 57.6488
0.322 355.42 58.3415
0.344 355.835 57.8395
0.111 354.95 57.9446
0.094 355.155 57.5086
0.328 355.502 58.3144
0.396 355.735 58.2004
0.135 355.43 58.1205
0.252 355.409 57.3238
0.309 355.76 57.578
0.111 355.563 57.9129
0.239 355.702 57.6135
0.201 355.643 57.5842
0.352 354.713 58.0526
0.221 354.988 57.41
0.394 355.372 57.1842
0.095 355.467 58.0191
0.381 355.791 57.5026
0.331 355.611 57.3519
0.268 355.226 57.2828
0.265 354.918 58.1934
0.188 355.624 58.0195
0.129 355.24 57.441
0.255 355.694 57.559
0.19 355.572 57.5064
0.261 354.836 58.0988
0.048 355.031 57.7851
0.231 355.029 58.2269
0.015 355.341 57.7181
0.389 354.835 57.3344
0.216 354.921 57.4719
0.228 355.189 57.3265
0.365 355.199 57.198
0.163 355.429 57.4381
0.33 355.816 57.7033
0.354 355.348 58.3869
0.252 355.327 58.296
0.005 355.18 57.7943
0.064 355.256 58.0529
0.142 355.364 57.4408
0.223 355.061 58.2327
0.302 355.335 58.343
0.34 354.991 58.3223
0.285 355.491 57.3239
0.377 355.26 57.1861
0.391 355.539 58.3544
0.205 355.319 58.2475
0.059 355.311 58.035
0.01 355.285 57.8938
