theta2 RA DEC
0.267 357.716 58.5773
0.386 357.591 59.3194
0.069 357.464 58.9526
0.114 357.181 59.1306
0.069 357.508 58.7481
0.237 357.589 58.4502
0.165 357.088 59.1724
0.077 357.042 58.616
0.192 357.654 58.6306
0.152 357.615 58.9383
0.282 357.547 58.3596
0.301 357.779 58.655
0.24 356.794 58.6221
0.263 357.654 59.1162
0.117 356.961 58.9822
0.016 357.137 58.7427
0.372 357.629 59.2775
0.07 357.452 58.971
0.303 357.749 58.5667
0.292 356.737 58.6292
0.085 357.332 58.5202
0.261 357.591 59.18
0.093 357.177 59.0961
0.311 357.48 58.2919
0.244 357.166 59.2867
0.168 357.418 58.4261
0.084 356.993 58.6667
0.294 357.222 58.2585
0.099 357.563 58.8348
0.157 357.249 59.1962
0.363 357.495 59.3506
0.294 357.644 59.173
0.159 357.649 58.8054
0.255 357.315 58.2992
0.055 357.379 58.6044
0.36 356.705 58.5481
0.354 356.894 59.2764
0.107 357.517 58.9891
0.357 357.414 58.2254
0.319 357.176 59.3599
0.016 357.268 58.6749
0.354 356.656 58.7702
0.055 357.46 58.9053
0.068 357.249 58.5392
0.172 357.643 58.9322
0.234 357.264 59.2835
0.206 356.832 58.6238
0.19 357.257 59.2358
0.193 357.623 58.5677
0.084 356.963 58.762
0.02 357.188 58.6729
0.005 357.279 58.7354
0.132 357.261 59.1631
0.205 357.423 58.3815
0.204 357.702 58.8018
0.084 356.962 58.7641
0.058 357.02 58.7297
0.1 357.147 59.0989
0.337 357.798 58.6088
0.07 357.004 58.8975
0.15 357.637 58.7987
0.116 356.916 58.7313
0.03 357.125 58.6804
0.387 357.742 59.1802
0.327 356.692 58.673
0.312 357.207 59.3569
0.006 357.324 58.8219
0.07 357.194 58.5414
0.313 357.563 58.3362
0.199 357.682 58.6888
0.191 356.966 58.4681
0.229 357.693 58.9814
0.398 356.62 58.7755
0.068 357.5 58.7257
0.316 356.734 59.0226
0.339 357.147 59.373
0.283 357.492 59.2736
0.063 357.075 58.9804
0.374 357.16 59.4049
0.097 356.991 58.9731
0.127 356.973 59.0242
0.07 357.32 58.5449
0.108 357.107 58.5039
0.082 357.489 58.6428
0.229 356.908 59.1351
0.295 357.103 58.2772
0.109 357.196 58.4743
0.029 357.219 58.6325
0.094 357.537 58.9088
0.259 357.025 59.2566
0.221 357.719 58.8365
0.099 357.148 59.0978
0.303 357.794 58.8823
0.016 357.139 58.8604
0.127 357.605 58.8279
0.003 357.221 58.7536
0.008 357.339 58.8075
0.094 357.526 58.9345
0.125 357.325 58.4545
0.056 357.383 58.6039
0.275 357.078 58.3047
0.38 356.775 58.4076
0.243 357.323 58.3124
0.308 356.731 58.6031
0.286 356.832 58.4664
0.333 357.509 59.3158
0.134 357.331 59.157
0.004 357.273 58.859
0.232 357.314 58.3227
0.303 356.852 59.1804
0.045 357.422 58.6757
0.058 357.044 58.9249
0.29 357.788 58.7848
0.094 357.46 58.5762
0.043 357.232 59.0066
0.171 357.336 58.3955
0.039 357.402 58.9259
0.211 357.694 58.6825
0.13 357.593 58.912
0.065 357.491 58.7178
0.221 356.781 58.8285
0.225 356.89 58.4915
0.286 357.208 58.2669
0.017 357.289 58.9244
0.236 357.735 58.8327
0.208 356.839 58.9979
0.268 357.089 58.308
0.002 357.27 58.8402
0.115 357.512 59.0158
0.083 357.391 59.0513
0.311 357.426 58.2709
0.093 357.53 58.6782
0.024 357.396 58.8525
0.25 357.712 58.6093
0.21 357.652 58.5794
0.096 356.97 58.9319
0.098 357.075 58.5403
0.091 357.309 58.5041
0.372 357.679 59.2335
0.239 357.678 58.5644
0.348 357.62 58.3405
0.344 357.223 58.2141
0.18 356.976 59.1242
0.04 357.422 58.9012
0.073 357.242 58.5299
0.026 357.392 58.723
0.173 357.557 58.5199
0.123 356.966 59.0051
0.046 357.036 58.7854
0.1 357.105 59.0809
0.129 357.517 58.5598
0.292 356.89 58.3966
0.135 356.99 58.5406
0.254 357.185 58.3002
0.216 357.211 58.3369
0.033 357.331 58.6372
0.208 357.7 58.7232
0.218 357.327 59.2606
0.119 357.303 59.1408
0.243 356.759 58.7606
0.178 357.26 59.2218
0.264 357.405 58.3102
0.32 357.023 59.3184
0.159 357.311 59.194
0.205 357.049 59.2055
0.132 357.414 58.476
0.037 357.253 58.6077
0.084 357.384 59.057
0.078 357.292 59.0761
0.379 357.406 59.3956
